,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
7,JEnv1qSNdAc,Technical Guruji,750,0,7534,82489
8,qQNGXAfs5BY,Technical Guruji,1183,0,35813,766228
9,JtVeNNqcqR8,Technical Guruji,839,0,10458,120275
10,sfT0gebxN-o,Technical Guruji,626,0,10933,165893
11,WiylGsZzqdo,Technical Guruji,887,0,11159,133731
12,14gtQ2reQa0,Technical Guruji,885,0,16179,294190
13,M2alHlrlaxA,Technical Guruji,732,0,6922,77885
14,yCgj-r5xwt4,Technical Guruji,2817,0,87855,2144614
15,eD8SmYNkYOA,Technical Guruji,1471,0,42836,1120522
16,ek9zN50hxO8,Technical Guruji,3156,0,11374,118470
17,eWMyl4d-Wd8,Technical Guruji,1366,0,62856,1184575
18,UOc13Bh1gdI,Technical Guruji,585,0,8217,91608
19,X3pz3wiMp9w,Technical Guruji,569,0,8337,111232
20,RaI5d2vBhpI,Technical Guruji,535,0,4447,49070
21,b66xaTWQdFM,Technical Guruji,646,0,8052,91207
22,QCLaIuyjaf8,Technical Guruji,1011,0,25476,483509
23,X2YQpT_m4wY,Technical Guruji,579,0,7462,84673
24,jJojLeGzNqg,Technical Guruji,829,0,15003,352365
25,eifIkyaLbPU,Technical Guruji,576,0,7634,90917
26,FaelKzaYA-8,Technical Guruji,2213,0,38569,534092
27,aO7tXgjOvtA,Technical Guruji,533,0,8156,90933
28,2-3r6e1Wa5Y,Technical Guruji,623,0,8633,94722
29,cE7HYt4BBvU,Technical Guruji,652,0,7636,84494
30,VXTMlvt7R6w,Technical Guruji,1241,0,15811,315775
31,LfRnDDjAFdk,Technical Guruji,515,0,8812,111103
32,3utVRfEp1Lg,Technical Guruji,1154,0,29046,567668
33,ubVTPumGA44,Technical Guruji,874,0,7031,84532
34,tYw7F87AR2k,Technical Guruji,629,0,9155,102807
35,SN53UqpbdSY,Technical Guruji,1238,0,22789,465861
36,y-wG-RJqimc,Technical Guruji,658,0,9012,102250
37,PAC0sxcG6PA,Technical Guruji,852,0,18951,327012
38,_3Tbr_a2gDU,Technical Guruji,599,0,7933,92697
39,sxiSfoxSHeY,Technical Guruji,1778,0,40837,816981
40,LwmuGUXvqzg,Technical Guruji,733,0,8826,108137
41,WQA2SS7_iv4,Technical Guruji,616,0,7763,98300
42,Dqv-qp7Xyf0,Technical Guruji,4634,0,65559,1031778
43,4kvEbmUULyw,Technical Guruji,721,0,9292,124855
44,YmLZux8tm7E,Technical Guruji,676,0,11719,238084
45,EoHQHLRWjB0,Technical Guruji,564,0,4835,55693
46,cmp08LVE3BM,Technical Guruji,725,0,8657,110126
47,mZIWCzaGYVo,Technical Guruji,704,0,10961,149423
48,IQ7Z0E-GwDc,Technical Guruji,653,0,9027,102230
49,Z3BYwoXamiY,Technical Guruji,1800,0,32867,539520
0,g4b3KIKRtLc,Technical Guruji,639,0,9326,118664
1,yo5hBYP9l6I,Technical Guruji,820,0,14542,314597
2,xIzc_9FG3o8,Technical Guruji,668,0,8844,110361
3,b4PPRAvWpPk,Technical Guruji,796,0,16195,224410
4,09DWLq-O048,Technical Guruji,679,0,8923,112130
5,j9Abxw-Tqvg,Technical Guruji,797,0,8278,85876
6,DEndHjVb7FM,Technical Guruji,708,0,12427,149965
7,9uqPfA0vSyE,Technical Guruji,985,0,17690,303424
8,Dbg2hbiMunA,Technical Guruji,614,0,5123,58641
9,0-2SvqkXjik,Technical Guruji,776,0,8477,100758
10,6hBRreFhy80,Technical Guruji,1607,0,44152,859219
11,2Y3OVmVmApQ,Technical Guruji,1860,0,10089,100192
12,N24NToj63L0,Technical Guruji,1753,0,35593,707591
13,OHpX-W6vsNk,Technical Guruji,673,0,7558,88944
14,iMKvEMBADIo,Technical Guruji,895,0,14563,299017
15,H2TQcTk7GBs,Technical Guruji,697,0,9915,118142
16,AVwAqXuoQzI,Technical Guruji,1531,0,39085,784770
17,--rUGa64OR0,Technical Guruji,680,0,9632,114804
18,qkaGc7Rppkg,Technical Guruji,6674,0,146602,2227584
19,WPCsyLKyJLU,Technical Guruji,752,0,7610,96039
20,z0WbNZMELFU,Technical Guruji,2248,0,26310,561820
21,LANSztkyXyA,Technical Guruji,699,0,6605,78728
22,ZB2vuh4qtPw,Technical Guruji,851,0,8766,105718
23,vosZEhUyW88,Technical Guruji,1492,0,28446,421029
24,gjAD6woAPYs,Technical Guruji,846,0,8932,114150
25,aA7x3DY3tE0,Technical Guruji,779,0,12853,206433
26,d3Yiy8wBO2Y,Technical Guruji,550,0,6632,75764
27,6s5Q7JG2icw,Technical Guruji,4401,0,84899,1833862
28,hFdmcHkQ1uk,Technical Guruji,652,0,7403,80401
29,LfoN762bEZ8,Technical Guruji,2800,0,63111,1318790
30,5rXlFSptU1w,Technical Guruji,823,0,9914,122955
31,s0SnUdLK4gM,Technical Guruji,938,0,21007,481043
32,bCiv0WbSJ-U,Technical Guruji,819,0,9335,114981
